,FileName,Abstract,Introduction,Conclusion
0,2015-A Multi-Modal Neuro-Physiological Study of Phishing Detection and Malware Warnings.pdf, detecting phishing attacks (identifying fake vs.real websites) and heeding security warnings represent classical user-centered secu- rity tasks subjected to a series of prior investigations.however  our understanding of user behavior underlying these tasks is still not fully mature  motivating further work concentrating at the neuro- physiological level governing the human processing of such tasks.we pursue a comprehensive three-dimensional study of phishing detection and malware warnings  focusing not only on what users’ task performance is but also on how users process these tasks based on: (1) neural activity captured using electroencephalogram (eeg) cognitive metrics  and (2) eye gaze patterns captured using an eye- tracker.our primary novelty lies in employing multi-modal neuro- physiological measures in a single study and providing a near re- alistic set-up (in contrast to a recent neuro-study conducted inside an fmri scanner).our work serves to advance  extend and sup- port prior knowledge in several signiﬁcant ways.speciﬁcally  in the context of phishing detection  we show that users do not spend enough time analyzing key phishing indicators and often fail at de- tecting these attacks  although they may be mentally engaged in the task and subconsciously processing real sites differently from fake sites.in the malware warning tasks  in contrast  we show that users are frequently reading  possibly comprehending  and eventu- ally heeding the message embedded in the warning.our study provides an initial foundation for building future mech- anisms based on the studied real-time neural and eye gaze features  that can automatically infer a user’s “alertness” state  and determine whether or not the user’s response should be relied upon.∗work done while being a student at uab  permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for proﬁt or commercial advantage and that copies bear this notice and the full cita- tion on the ﬁrst page.copyrights for components of this work owned by others than acm must be honored.abstracting with credit is permitted.to copy otherwise  or re- publish  to post on servers or to redistribute to lists  requires prior speciﬁc permission and/or a fee.request permissions from permissions@acm.org.ccs’15  october 12–16  2015  denver  colorado  usa.© 2015 acm.isbn 978-1-4503-3832-5/15/10 $15.00.doi: http://dx.doi.org/10.1145/2810103.2813660.categories and subject descriptors k.4.1 [computer and society]: public policy issues—privacy; d.4.6 [operating system]: security and protection—authentica- tion; h.1.2 [information systems]: user/machine systems —hu- man factors; human information processing general terms security and privacy  human-centered computing keywords phishing detection; malware warnings; eeg; eye tracking; neu- roscience 1,  cyber-security is undoubtedly a topic of national importance.while some cyber-attacks exploit the ﬂaws in the system design or implementation itself  others are successful due to the potential negligence or mistakes of end users.this latter aspect of com- puter systems security  commonly referred to as “user-centered se- curity ” forms the central focus of our work.there exists a num- ber of attacks and vulnerabilities underlying user-centered security systems.for example  users are frequently subject to phishing at- tacks (i.e.presented with malicious websites which may look very similar to real websites)  which they may fail to detect  eventually undermining the privacy of their sensitive information.similarly  warnings are regularly shown to users in order to alert them against potential security risks (e.g.while connecting to a potentially mali- cious site)  which they may not read or comprehend  or may simply ignore.there exists a large body of recent literature focusing on user- centered security (e.g.[9  17  18  , and future work we pursued a triangular study of phishing detection and malware warnings  measuring users’ neural activity  eye gaze patterns  task performance  and inter-relationships thereof.in the realm of phish- ing detection  our results showed that users do not spend enough time looking at key phishing indicators and often fail at detecting these attacks  although they may be highly engaged in the task and subconsciously processing real sites differently than fake sites.in the malware warning tasks  on the other hand  our results demon- strated that users frequently read and eventually heed the message embedded within the warning.we also found that a user’s person- ality traits (speciﬁcally  attention control) directly impact his/her phishing detection accuracy.this suggests that users may detect phishing attacks better if they could be trained to exercise attention control (beyond phishing awareness training).further work is nec- essary to understand the effect of such interventional training on users’ performance in the phishing detection task.based on our work  we suggested the possibility of building fu- ture automated mechanisms applying a fusion of real-time neural and eye gaze features that can infer users’ “alertness” state  and de- termine whether or not users’ responses should be relied upon.the proposed mechanism may be used to “sanitize” a user’s response and enhance the credibility of human decisions in a user-centered security system  serving as a closed-loop between humans and ma- chines.future research is needed to design and validate such mech- anisms in different security domains.acknowledgments the authors thank: cali fidopiastis and pankaj mahajan for their help with data collection  rajesh kana for his feedback in the early stages of this work  john sloan for feedback on a previous draft  and the abm team  especially stephanie korszen  for valuable guidance on eeg data analysis.we also thank konstantin (kosta) beznosov (our shepherd) and ccs’15 anonymous reviewers for their constructive comments and guidance.11
1,2015-Weakly Supervised Extraction of Computer Security Events from Twitter.pdf, twitter contains a wealth of timely information  however staying on top of breaking events requires that an informa- tion analyst constantly scan many sources  leading to infor- mation overload.for example  a user might wish to be made aware whenever an infectious disease outbreak takes place  when a new smartphone is announced or when a distributed denial of service (dos) attack might aﬀect an organization’s network connectivity.there are many possible event cate- gories an analyst may wish to track  making it impossible to anticipate all those of interest in advance.we therefore propose a weakly supervised approach  in which extractors for new categories of events are easy to deﬁne and train  by specifying a small number of seed examples.we cast seed- based event extraction as a learning problem where only pos- itive and unlabeled data is available.rather than assuming unlabeled instances are negative  as is common in previ- ous work  we propose a learning objective which regular- izes the label distribution towards a user-provided expecta- tion.our approach greatly outperforms heuristic negatives  used in most previous work  in experiments on real-world data.signiﬁcant performance gains are also demonstrated over two novel and competitive baselines: semi-supervised em and one-class support-vector machines.we investigate three security-related events breaking on twitter: dos at- tacks  data breaches and account hijacking.a demonstration of security events extracted by our sys-  tem is available at: http://kb1.cse.ohio-state.edu:8123/events/hacked  ∗this work was conducted at carnegie mellon  copyright is held by the international world wide web conference com- mittee (iw3c2).iw3c2 reserves the right to provide a hyperlink to the author’s site if the material is used in electronic media.www 2015  may 18–22  2015  florence  italy.acm 978-1-4503-3469-3/15/05.http://dx.doi.org/10.1145/2736277.2741083 .categories and subject descriptors i.2.7 [natural language processing]: language pars- ing and understanding; h.2.8 [database management]: database applications—data mining general terms algorithms  experimentation 1,  social media presents a rich and timely source of informa- tion on events taking place in the world  enabling applica- tions such as earthquake detection [41] or identifying the lo- cation of missing persons during natural disasters [,  motivated by the wide variety of event categories which might be of interest to track  we proposed a weakly super- vised seed-based approach to event extraction from twitter.we showed how this leads to an unusual learning problem where only a small number of positive seeds and a sam- ple of unlabeled candidate events are available.a number of approaches were investigated to address this challenge  including label regularization  constrained semi-supervised em and one-class svms.we applied this approach to de- tect several security-related events including dos attacks and account hijacking incidents  and demonstrated that a large number of security-related events are mentioned on twitter.9.acknowledgments  this research has been supported in part by darpa (un- der contract number fa8750-13-2-0005) and the depart- ment of defense under contract no.fa8721-05-c-0003 with carnegie mellon university for the operation of the software engineering institute  a federally funded research and devel- opment center.10
2,2016-A Simple Generic Attack on Text Captchas.pdf,—text-based captchas have been widely deployed across the internet to defend against undesirable or malicious bot programs.many attacks have been proposed; these ﬁne prior art advanced the scientiﬁc understanding of captcha robustness  but most of them have a limited applicability.in this paper  we report a simple  low-cost but powerful attack that effectively breaks a wide range of text captchas with distinct design features  including those deployed by google  microsoft  yahoo!  amazon and other internet giants.for all the schemes  our attack achieved a success rate ranging from 5% to 77%  and achieved an average speed of solving a puzzle in less than 15 seconds on a standard desktop computer (with a 3.3ghz intel core i3 cpu and 2 gb ram).this is to date the simplest generic attack on text captchas.our attack is based on log-gabor ﬁlters; a famed application of gabor ﬁlters in computer security is john daugman’s iris recognition algorithm.our work is the ﬁrst to apply gabor ﬁlters for breaking captchas.i,  captcha allows websites to automatically distinguish com- puters from humans.this technology  in particular text-based captchas  has been widely deployed on the internet to curb abuses introduced by automated computer programs mas- querading as human beings.although many text captchas have been broken  the most recent studies  such as one by a uc berkeley team [,
3,2016-Attack Patterns for Black-Box Security Testing of Multi-Party Web Applications.pdf,—the advent of software-as-a-service (saas) has led to the development of multi-party web applications (mpwas).mpwas rely on core trusted third-party systems (e.g.payment servers  identity providers) and protocols such as cashier-as-a- service (caas)  single sign-on (sso) to deliver business services to users.motivated by the large number of attacks discovered against mpwas and by the lack of a single general-purpose application-agnostic technique to support their discovery  we propose an automatic technique based on attack patterns for black-box  security testing of mpwas.our approach stems from the observation that attacks against popular mpwas share a number of similarities  even if the underlying protocols and services are different.in this paper  we target six different replay attacks  a login csrf attack and a persistent xss attack.firstly  we propose a methodology in which security experts can create attack patterns from known attacks.secondly  we present a security testing framework that leverages attack patterns to automatically generate test cases for testing the security of mpwas.we implemented our ideas on top of owasp zap (a popular  open-source penetration testing tool)  created seven attack patterns that correspond to thirteen prominent attacks from the literature and discovered twenty one previously unknown vulnerabilities in prominent mpwas (e.g.twitter.com  developer.linkedin.com  pinterest.com)  including mpwas that do not belong to sso and caas families.i,  an increasing number of business critical  online applica- tions leverage trusted third parties in conjunction with web- based security protocols to meet their security needs.for instance  many online applications rely on authentication as- sertions issued by identity providers to authenticate users using a variety of web-based single sign-on (sso) protocols (e.g.saml sso v,  we presented an approach for black-box security testing of mpwas.the core of our approach is the concept of application-agnostic attack patterns.these attack patterns are inspired by the similarities in the attack strategies of the previ- ously discovered attacks against mpwas.the implementation of our approach is based on owasp zap  a widely-used open- source legacy penetration testing tool.by using our approach  we have been able to identify serious drawbacks in the sso and caas solutions offered by linkedin  paypal and stripe  previously unknown vulnerabilities in a number of websites leveraging the sso solutions offered by facebook and in- stagram and automatically generate test cases that reproduce previously known attacks against vulnerable integration of the 2checkout service.acknowledgment  this work has been partly supported by the eu under grant  317387 secentis (fp7-people-2012-itn)
4,2016-AUROR- Defending Against Poisoning Attacks in Collaborative Deep Learning Systems.pdf, deep learning in a collaborative setting is emerging as a corner- stone of many upcoming applications  wherein untrusted users col- laborate to generate more accurate models.from the security per- spective  this opens collaborative deep learning to poisoning at- tacks  wherein adversarial users deliberately alter their inputs to mis-train the model.these attacks are known for machine learning systems in general  but their impact on new deep learning systems is not well-established.we investigate the setting of indirect collaborative deep learning — a form of practical deep learning wherein users submit masked features rather than direct data.indirect collaborative deep learn- ing is preferred over direct  because it distributes the cost of com- putation and can be made privacy-preserving.in this paper  we study the susceptibility of collaborative deep learning systems to adversarial poisoning attacks.speciﬁcally  we obtain the follow- ing empirical results on 2 popular datasets for handwritten images (mnist) and trafﬁc signs (gtsrb) used in auto-driving cars.for collaborative deep learning systems  we demonstrate that the at- tacks have 99% success rate for misclassifying speciﬁc target data while poisoning only 10% of the entire training dataset.as a defense  we propose auror  a system that detects mali- cious users and generates an accurate model.the accuracy un- der the deployed defense on practical datasets is nearly unchanged when operating in the absence of attacks.the accuracy of a model trained using auror drops by only 3% even when 30% of all the users are adversarial.auror provides a strong guarantee against evasion; if the attacker tries to evade  its attack effectiveness is bounded.1,  deep learning techniques have brought a paradigm shift in data driven applications  from speech recognition (e.g.apple’s siri [4]  google now [7]  microsoft’s cortana [6] and recently facebook m [3])  to image identiﬁcation (e.g.google’s photos [5]  face- book’s moments [,
5,2016-Cracking Classifiers for Evasion- A Case Study on the Google_s Phishing Pages Filter.pdf,  various classifiers based on the machine learning techniques have  been widely used in security applications.meanwhile  they also  became  an  attack  target  of  adversaries.many  existing  studies  have  paid  much  attention  to  the  evasion  attacks  on  the  online  classifiers  and  discussed  defensive  methods.however   the  security of the classifiers deployed in the client environment has  not got the attention it deserves.besides  earlier studies have only  concentrated  on  the  experimental  classifiers  developed  for  research purposes only.the security of widely-used commercial  classifiers still remains unclear.in this paper  we use the google’s  phishing pages filter (gppf)  a classifier deployed in the chrome  browser and with over one billion users  as a case to investigate  the security challenges for the client-side classifiers.a new attack  methodology  targeted  to  client-side  classifiers   called  classifiers  cracking   is  presented.according  to  the  methodology   we  successfully  crack  the  classification  model  of  gppf  and  extract  sufficient  knowledge  from  it  for  performing  effective  evasion  attacks   including  the  classification  algorithm   scoring  rules  and  features   etc.most  importantly   we  completely  reverse  engineer  84.8% scoring rules  covering most of high-weighted rules.based  on  the  cracked  information   we  perform  two  kinds  of  evasion  attacks  to  gppf   using  100  real  phishing  pages  as  the  target  of  evaluation.the  experiments  show  that  all  the  phishing  pages  (100%)  can  be  easily  manipulated  to  bypass  the  detection  of  gppf.our  study  demonstrates  that  the  existing  client-side  classifiers are very vulnerable to classifiers cracking attacks.categories and subject descriptors  d.4.6  [artificial intelligence]: learning   [security  and  protection]:   invasive  software;   i.2   general terms  security   keywords  phishing  detection   machine  learning   classifiers   cracking   collision attacks  evasion attacks   1,  machine  learning  techniques  have  been  commonly  adopted  in  security  applications.various  classifiers  were  trained  for  detecting  malicious  web  pages  [,  in this paper  we presented a new attack methodology  classifier  cracking   for  evading  the  client-side  classifier.our  approach  is  different  from  existing  attack  methods  is  that  various  reverse  engineering techniques are leveraged to directly extract desirable  knowledge  from  client-side  classifier  for  launching  evasion  attacks.our study took gppf  a learning-based filter for phishing  pages deployed in chrome as a case to study  which owns over  one  billion  users.employing  various  reverse  engineering  techniques   we  successfully  crack  the  gppf  model  and  completely  recovered  84.8%  encrypted  scoring  rules.based  on  the information  we developed two kinds of evasion attacks: good  features  insertion  and  bad  features  elimination.the  latest  100  real phishing pages collected from phishtank were taken as the  target of evaluation.the attack experiments showed that we can  easily  manipulate  all  the  phishing  pages  (100%)  to  make  them  successfully evade the detection of gppf in the latest version of  chrome.additionally   a  potential  defense  strategy  was  also  discussed.we  believe  that  the  deep  learning  method  can  be  employed to build client-side classifiers for essentially increasing  the complexity of cracking.our  research  revealed  an  important  fact  that  the  client-side  classifiers have a larger attack surface and hence larger number of  potential attacks.in the future  we will further research potential  defense techniques  especially based on the deep learning method   to develop more robust client-side classifier framework.9.acknowledgments  the  authors  would  like  to  thank  the  anonymous  reviewers  for  their  insightful  comments.the  work  is  supported  by  national  natural  science  foundation  of  china  (nsfc)  under  grants  61170240   91418206  and  61472429   and  national  science  and  technology  major  project  of  china  under  grant  2012zx01039- 004.10
6,2016-HERCULE- Attack Story Reconstruction via Community Discovery on Correlated Log Graph.pdf, advanced cyber attacks consist of multiple stages aimed at being stealthy and elusive.such attack patterns leave their footprints spatio-temporally dispersed across many diﬀer- ent logs in victim machines.however  existing log-mining intrusion analysis systems typically target only a single type of log to discover evidence of an attack and therefore fail to exploit fundamental inter-log connections.the output of such single-log analysis can hardly reveal the complete attack story for complex  multi-stage attacks.additionally  some existing approaches require heavyweight system instrumenta- tion  which makes them impractical to deploy in real produc- tion environments.to address these problems  we present hercule  an automated multi-stage log-based intrusion analysis system.inspired by graph analytics research in social network analysis  we model multi-stage intrusion anal- ysis as a community discovery problem.hercule builds multi-dimensional weighted graphs by correlating log entries across multiple lightweight logs that are readily available on commodity systems.from these  hercule discovers any “attack communities” embedded within the graphs.our eval- uation with 15 well known apt attack families demonstrates that hercule can reconstruct attack behaviors from a spectrum of cyber attacks that involve multiple stages with high accuracy and low false positive rates.1,  emerging cyber attack campaigns (e.g.enterprise-wide apt) exhibit “low-and-slow” attack patterns: attackers con- duct reconnaissance and move laterally within a network via many stealthy multi-stage payloads.one annual report published by fireeye [18] highlighted that attackers may reside in a victim’s environment for up to ,
7,2016-PhishEye- Live Monitoring of Sandboxed Phishing Kits.pdf, phishing is a form of online identity theft that deceives un- aware users into disclosing their conﬁdential information.while signiﬁcant eﬀort has been devoted to the mitigation of phishing attacks  much less is known about the entire life-cycle of these attacks in the wild  which constitutes  however  a main step toward devising comprehensive anti- phishing techniques.in this paper  we present a novel ap- proach to sandbox live phishing kits that completely protects the privacy of victims.by using this technique  we perform a comprehensive real-world assessment of phishing attacks  their mechanisms  and the behavior of the criminals  their victims  and the security community involved in the process – based on data collected over a period of ﬁve months.our infrastructure allowed us to draw the ﬁrst compre- hensive picture of a phishing attack  from the time in which the attacker installs and tests the phishing pages on a com- promised host  until the last interaction with real victims and with security researchers.our study presents accurate measurements of the duration and eﬀectiveness of this pop- ular threat  and discusses many new and interesting aspects we observed by monitoring hundreds of phishing campaigns.1,  despite the large eﬀort and the numerous solutions pro- posed by the security community  phishing attacks remain today one of the main threats on the internet [1].they usually aim at deceiving users into visiting fake web pages that mimic the graphic appearance of real and authentic websites [18].the main goal of an attacker  also known as phisher  is to collect sensitive user data such as login cre- dentials  banking information  or credit cards numbers.the stolen data can then be monetized by leveraging hijacked ac- counts and performing fraudulent online transactions  or in- directly through the resale of the stolen information to other cyber-criminals  mostly on the internet black market [16].phishing attacks constitute a major challenge for inter- net service providers (isps)  as well as for email providers   permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for proﬁt or commercial advantage and that copies bear this notice and the full citation on the ﬁrst page.copyrights for components of this work owned by others than the author(s) must be honored.abstracting with credit is permitted.to copy otherwise  or republish  to post on servers or to redistribute to lists  requires prior speciﬁc permission and/or a fee.request permissions from permissions@acm.org.ccs’16  october ,  in this paper we present the design and implementation of a honeypot system especially designed to analyze and disarm phishing kits.using this infrastructure  we conducted a ﬁve- month experiment to understand and measure the entire life cycle of this type of attack.diﬀerent from previous works  our approach is able to measure the eﬀective lifetime of phishing kits  which starts immediately after the kit installation.we are also the ﬁrst to clearly distinguish the victims from the attackers and the other third party visitors.our results show that less vic- tims divulge their credentials compared to previous studies conducted in 2009 [39]  maybe due to an increased user ed- ucation in the past seven years against this threat.9.acknowledgments  we would like to thank the reviewers for their valuable comments that allowed us to improve the quality of this pa- per.this research was partly funded by the french ministry of education and research under cifre grant given to xiao han  and by the european union’s horizon 2020 project supercloud under grant agreement 643964.10
8,2016-POSTER- Phishing Website Detection with a Multiphase Framework to Find Visual Similarity.pdf, most phishing pages try to convince users that they are legitimate sites by imitating visual signals like logos from the websites they are targeting.visual similarity detection methods look for these imitations between the screen-shots of the suspect pages and an image database of the most tar- geted websites.existing approaches  however  are either too slow for real-time use or not robust to manipulation.in this work  we design a multi-phase framework for visual similar- ity detection.the ﬁrst phase of the framework should rule out the bulk of websites quickly  but without introducing false negatives and with resistance to attacker manipula- tions.later phases can use more heavyweight operations to decide whether or not to warn the user about possible phishing.in this abstract  we focus on the ﬁrst phase.in experiments  our proposed method rules out more than half of the test cases with zero false negatives with less than 5 ms of processing time per page.keywords web security  phishing  visual similarity  1,  in the us alone  hundreds of millions of dollars are lost to phishing attacks each year [4].thus  despite substantial research into anti-phishing mechanisms  attackers continue to ﬁnd the attacks to be successful and proﬁtable.while a variety of information could be used to detect phishing sites  such as dns whois records and ip address of the server  much of it can be manipulated by an intel- ligent adversary.one aspect that is harder to manipulate  however  is the visual branding that helps the attacker con- vince the user that the site is the legitimate target site  such as a particular online bank.without these visual cues  or with heavily modiﬁed cues  the user may ﬁnd the site to be suspicious  and the attacker’s success rate will be lower.thus  a well-studied approach to combating phishing at- tacks is to look for visual similarity between an unknown  permission to make digital or hard copies of part or all of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for proﬁt or commercial advantage and that copies bear this notice and the full citation on the ﬁrst page.copyrights for third-party components of this work must be honored.for all other uses  contact the owner/author(s).ccs’16 october ,
9,2016-Real-Time Detection of Malware Downloads via Large-Scale URL -_ File -_ Machine Graph Mining  .pdf,  in this paper we propose mastino  a novel defense system to detect malware   download events.a download event is a 3-tuple that identies the action of   downloading  a  file  from  a  url  that  was  triggered  by  a  client  (machine).mastino  utilizes  global  situation  awareness  and  continuously  monitors   various network- and system-level events of the clients’ machines across   the internet and provides real time classification of both files and urls to   the clients upon submission of a new  unknown file or url to the system.to   enable detection of the download events  mastino builds a large download   graph that captures the subtle relationships among the entities of download   events  i.e.files  urls  and machines.we implemented a prototype version   of  mastino  and  evaluated  it  in  a  large-scale  real-world  deployment.our   experimental evaluation shows that mastino can accurately classify malware   download events with an average of 95.5% true positive (tp)  while incurring   less than 0.5% false positives (fp).in addition  we show the mastino can   classify a new download event as either benign or malware in just a fraction   of a second  and is therefore suitable as a real time defense system.1,  6  overview  9  system details  13  experimental setup  18  evaluation  ,
