,FileName,Abstract,Introduction,Conclusion
0,2015-A Multi-Modal Neuro-Physiological Study of Phishing Detection and Malware Warnings.pdf,detecting phishing attacks and heeding security warnings represent classical user-centered tasks subject to a series of prior investigations . but our understanding of user behavior underlying these tasks is still not fully mature motivating further work focusing at the neuro- physiological level governing the human processing .,there exists a num- ber of attacks and vulnerabilities underlying user-centered security systems . for example users are frequently subject to phishing at- tacks (i.e.presented with malicious websites which may look very similar to real websites) which they may fail to detect eventually undermining the privacy of their sensitive information . similar warnings are regularly shown to users in order to alert them against potential security risks .,users do not spend enough time looking at key phishing indicators and often fail at detecting these attacks . in the malware warning tasks on the other hand our results demon- strated that users frequently read and eventually heed the message embedded within the warning .further work is nec- essary to understand the effect of such interventional training on users’ performance . we suggested the possibility of building automated mechanisms applying a fusion of real-time neural and eye gaze features .
1,2015-Weakly Supervised Extraction of Computer Security Events from Twitter.pdf,twitter contains a wealth of timely information however staying on top of breaking events requires that an informa- tion analyst constantly scan many sources leading to infor- mation overload . we investigate three security-related events breaking on twitter: dos at- tacks data breaches and account hijacking . our approach greatly outperforms heuristic negatives used in most previous work .,social media provides a rich and timely source of informa- tion on events taking place in the world . enabling applica-tions such as earthquake detection or identifying the lo- cation of missing persons during natural disasters .,a weakly super-vised seed-based approach to event extraction from twitter was proposed . this leads to an unusual learning problem where only a small number of positive seeds and a sam- ple of unlabeled candidate events are available .
2,2016-A Simple Generic Attack on Text Captchas.pdf,this paper reports a simple low-cost but powerful attack that effectively breaks a wide range of text captchas . for all the schemes our attack achieved a success rate ranging from 5% to 77% and achieved an average speed of solving a puzzle in less than 15 seconds .,captchas allow websites to automatically distinguish com- puters from humans . many text capt- chas have been broken the most recent studies .,. - (EL) - -________________________ -______________________ __________ __
3,2016-Attack Patterns for Black-Box Security Testing of Multi-Party Web Applications.pdf,software-as-a-service (saas) has led to the development of multi-party web applications (mpwas) authors propose an automatic technique based on attack patterns for black-box security testing of mpwas . they target six different replay attacks a login csrf attack .,many online applications rely on authentication as- sertions issued by identity providers to authenticate users using a variety of web-based single sign-on (sso) protocols .,the core of our approach is the concept of application-agnostic attack patterns . attack patterns are inspired by the similarities in the attack strategies of the previ- ously discovered attacks against mpwas . using our approach we have identified serious drawbacks in the sso and caas solutions offered by linkedin paypal .
4,2016-AUROR- Defending Against Poisoning Attacks in Collaborative Deep Learning Systems.pdf,collaborative deep learning is emerging as a cornerstone of many upcoming applications wherein untrusted users col- laborate to generate more accurate models . from the security per- spective this opens collaboration deep learning to poisoning attacks wherein adversarial users deliberately alter their inputs to mis-train the model .,deep learning techniques have brought a paradigm shift in data driven applications from speech recognition (e.g.apple’s siri [4] microsoft’s cortana [6] and recently facebook m [3]) to image identification .,. - (EL) - -________________________ -______________________ __________ __
5,2016-Cracking Classifiers for Evasion- A Case Study on the Google_s Phishing Pages Filter.pdf,google’s phishing pages filter (gppf) classifier deployed in the chrome browser and with over one billion users as a case to investigate the security challenges for the client-side classifiers .,machine learning techniques have been commonly adopted in security applications . classifiers were trained for detecting malicious web pages . 'machine learning' is a technique that can be used to detect web pages that are malicious .,a new attack methodology classifier cracking for evading the client-side classifier . our research took gppf a learning-based filter for phishing pages deployed in chrome as a case to study which owns over one billion users .
6,2016-HERCULE- Attack Story Reconstruction via Community Discovery on Correlated Log Graph.pdf,hercule is an automated multi-stage log-based intrusion analysis system . it builds multi-dimensional weighted graphs by correlating log entries across multiple lightweight logs that are readily available on commodity systems .,emerging cyber attacks (e.g.enterprise-wide apt) exhibit “low-and-slow” attack patterns . attackers may reside in a victim’s environment for up to a year .,. - (EL) - -________________________ -______________________ __________ __
7,2016-PhishEye- Live Monitoring of Sandboxed Phishing Kits.pdf,phishing is a form of online identity theft that deceives un- aware users into disclosing their confidential information . while significant effort has been devoted to . the mitigation of these attacks much less is known about the entire life-cycle of . these attacks in the wild . in this paper we present a novel ap- proach to sandbox live phish kits that completely protects the privacy of victims .,phishing attacks are a major challenge for inter- net service providers as well as for email providers . permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage .,in this paper we present the design and implementation of a honeypot system specially designed to analyze and disarm phishing kits . we conducted a five- month experiment to understand and measure the entire life cycle of this type of attack . our results show that less vic- tims divulge their credentials compared to previous studies conducted in 2009 .
8,2016-POSTER- Phishing Website Detection with a Multiphase Framework to Find Visual Similarity.pdf,visual similarity detection methods look for these imitations between the screen-shots of the suspect pages and an image database of the most tar- gottened websites .existing approaches are either too slow for real-time use or not robust to manipulation .,in the us alone hundreds of millions of dollars are lost to phishing attacks each year . despite substantial research into anti-phishing mechanisms attackers continue to find the attacks to be successful and profitable . without these visual cues the user may find the site to be suspicious .,. - (EL) - -________________________ -______________________ __________ __
9,2016-Real-Time Detection of Malware Downloads via Large-Scale URL -_ File -_ Machine Graph Mining  .pdf,mastino identifies the action of downloading a file from a url that was triggered by a client (machine) it uses global situation awareness and continuously monitors various network- and system-level events of the clients’ machines across the internet . it provides real time classification of both files and urls upon submission of a new unknown file or url to the system .,6 overview 9 system details 13 experimental setup 18 evaluation 18 evaluation 19 evaluation 20 evaluation 20 experimental setup 19 evaluation 21 evaluation 21 experimental setup 20 evaluation 24 evaluation 24 experimental setup 24 evaluation 25 evaluation 24 evaluative 24 evaluation 19 experimental 24 evaluation 18 experimental 24 analysis 18 evaluation 24 analysis 24 evaluation 0 evaluation 24 verification 24 evaluation 4 evaluation 24 validation 24 evaluation 48 evaluation 24 testing 24 evaluation 12 evaluation 24 monitoring 24 evaluation 16 evaluation 24 assessment 24 evaluation 1 evaluation 24 review 24 evaluation 2 evaluation 24 comparison 24 evaluation 23 evaluation 24 reporting 24 evaluations 24 evaluation 26 evaluation 24,. - (EL) - -________________________ -______________________ __________ __
